word,colour,congruent,corrAns,practisTrials.thisRepN,practisTrials.thisTrialN,practisTrials.thisN,practisTrials.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,instrTxt1.started,instrTxt1.stopped,imgStart1.started,imgStart1.stopped,resBegin1.x,resBegin1.y,resBegin1.leftButton,resBegin1.midButton,resBegin1.rightButton,resBegin1.time,resBegin1.clicked_name,resBegin1.started,resBegin1.stopped,targetTxt.started,targetTxt.stopped,imgRed.started,imgRed.stopped,imgBlue.started,imgBlue.stopped,imgGreen.started,imgGreen.stopped,imgYellow.started,imgYellow.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,mouse.started,mouse.stopped,feedbackTxt.started,feedbackTxt.stopped,instrTxt.started,instrTxt.stopped,imgStart.started,imgStart.stopped,resBegin.x,resBegin.y,resBegin.leftButton,resBegin.midButton,resBegin.rightButton,resBegin.time,resBegin.clicked_name,resBegin.started,resBegin.stopped,نام,نام خانوادگی,کلاس,سن,چندمین بار است که در این تست شرکت می کنید,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,27.059828800000105,None,27.059828800000105,None,0.04259259259259259,-0.28425925925925927,1,0,0,1.2388244000003397,imgStart,0.009856610000497312,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ax,ax,xxxxa,ax,001,2021_Jan_12_1945,آزمون استروپ استاندارد,2020.2.10,59.92552455813366,
سبز,yellow,0,imgYellow,0,0,0,5,,,,,,,,,,,,,,,,,,28.3269736000002,None,28.3269736000002,None,28.3269736000002,None,28.3269736000002,None,28.3269736000002,None,0.17314814814814813,-0.20925925925925926,1,0,0,1.209418899999946,imgYellow,0.007873079999626498,None,29.559395599999334,None,,,,,,,,,,,,,,ax,ax,xxxxa,ax,001,2021_Jan_12_1945,آزمون استروپ استاندارد,2020.2.10,59.92552455813366,
قرمز,red,1,imgRed,0,1,1,0,,,,,,,,,,,,,,,,,,31.092935900000157,None,31.092935900000157,None,31.092935900000157,None,31.092935900000157,None,31.092935900000157,None,-0.2175925925925926,-0.2037037037037037,1,0,0,1.1232796999993298,imgRed,0.005682340000021213,None,32.20880239999951,None,,,,,,,,,,,,,,ax,ax,xxxxa,ax,001,2021_Jan_12_1945,آزمون استروپ استاندارد,2020.2.10,59.92552455813366,
سبز,green,1,imgGreen,0,2,2,4,,,,,,,,,,,,,,,,,,33.741972499999974,None,33.741972499999974,None,33.741972499999974,None,33.741972499999974,None,33.741972499999974,None,0.05092592592592592,-0.18055555555555555,1,0,0,0.8488250999998854,imgGreen,0.013149940000403149,None,34.57505630000014,None,,,,,,,,,,,,,,ax,ax,xxxxa,ax,001,2021_Jan_12_1945,آزمون استروپ استاندارد,2020.2.10,59.92552455813366,
آبی,blue,1,imgBlue,0,3,3,3,,,,,,,,,,,,,,,,,,36.10880309999993,None,36.10880309999993,None,36.10880309999993,None,36.10880309999993,None,36.10880309999993,None,-0.09907407407407408,-0.18425925925925926,1,0,0,0.7935368999997081,imgBlue,0.009498040000835317,None,36.89214379999976,None,,,,,,,,,,,,,,ax,ax,xxxxa,ax,001,2021_Jan_12_1945,آزمون استروپ استاندارد,2020.2.10,59.92552455813366,
آبی,red,0,imgRed,0,4,4,2,,,,,,,,,,,,,,,,,,38.42480269999942,None,38.42480269999942,None,38.42480269999942,None,38.42480269999942,None,38.42480269999942,None,-0.20185185185185187,-0.19074074074074074,1,0,0,1.3124669000007998,imgRed,0.012269539999579138,None,39.72423919999983,None,,,,,,,,,,,,,,ax,ax,xxxxa,ax,001,2021_Jan_12_1945,آزمون استروپ استاندارد,2020.2.10,59.92552455813366,
زرد,yellow,1,imgYellow,0,5,5,7,,,,,,,,,,,,,,,,,,41.258239499999945,None,41.258239499999945,None,41.258239499999945,None,41.258239499999945,None,41.258239499999945,None,0.1814814814814815,-0.19074074074074074,1,0,0,0.9436470999999074,imgYellow,0.009874540000964771,None,42.1903870999995,None,,,,,,,,,,,,,,ax,ax,xxxxa,ax,001,2021_Jan_12_1945,آزمون استروپ استاندارد,2020.2.10,59.92552455813366,
زرد,green,0,imgGreen,0,6,6,6,,,,,,,,,,,,,,,,,,43.7066649999997,None,43.7066649999997,None,43.7066649999997,None,43.7066649999997,None,43.7066649999997,None,0.075,-0.19907407407407407,1,0,0,0.6632595999999467,imgGreen,0.012441339999895717,None,44.37350199999946,None,,,,,,,,,,,,,,ax,ax,xxxxa,ax,001,2021_Jan_12_1945,آزمون استروپ استاندارد,2020.2.10,59.92552455813366,
قرمز,blue,0,imgBlue,0,7,7,1,,,,,,,,,,,,,,,,,,45.88999329999933,None,45.88999329999933,None,45.88999329999933,None,45.88999329999933,None,45.88999329999933,None,-0.0787037037037037,-0.19166666666666668,1,0,0,0.6819015000000945,imgBlue,0.014614239999900747,None,46.57297659999949,None,,,,,,,,,,,,,,ax,ax,xxxxa,ax,001,2021_Jan_12_1945,آزمون استروپ استاندارد,2020.2.10,59.92552455813366,
آبی,red,0,imgRed,1,0,8,2,,,,,,,,,,,,,,,,,,48.106079399999544,None,48.106079399999544,None,48.106079399999544,None,48.106079399999544,None,48.106079399999544,None,-0.0787037037037037,-0.19166666666666668,1,0,0,0.679053599999861,imgBlue,0.01165813999978127,None,48.773448399999324,None,,,,,,,,,,,,,,ax,ax,xxxxa,ax,001,2021_Jan_12_1945,آزمون استروپ استاندارد,2020.2.10,59.92552455813366,
