word,colour,congruent,corrAns,practisTrials.thisRepN,practisTrials.thisTrialN,practisTrials.thisN,practisTrials.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,instrTxt1.started,instrTxt1.stopped,imgStart1.started,imgStart1.stopped,resBegin1.x,resBegin1.y,resBegin1.leftButton,resBegin1.midButton,resBegin1.rightButton,resBegin1.time,resBegin1.clicked_name,resBegin1.started,resBegin1.stopped,targetTxt.started,targetTxt.stopped,imgRed.started,imgRed.stopped,imgBlue.started,imgBlue.stopped,imgGreen.started,imgGreen.stopped,imgYellow.started,imgYellow.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,mouse.started,mouse.stopped,feedbackTxt.started,feedbackTxt.stopped,instrTxt.started,instrTxt.stopped,imgStart.started,imgStart.stopped,resBegin.x,resBegin.y,resBegin.leftButton,resBegin.midButton,resBegin.rightButton,resBegin.time,resBegin.clicked_name,resBegin.started,resBegin.stopped,نام,نام خانوادگی,کلاس,سن,چندمین بار است که در این تست شرکت می کنید,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,13.21919330000037,None,13.21919330000037,None,0.012037037037037037,-0.26481481481481484,1,0,0,1.1445987000006426,imgStart,0.009495019997302734,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,d,d,d,d,001,2021_Jan_12_1726,آزمون استروپ استاندارد,2020.2.10,59.87934312382163,
سبز,green,1,imgGreen,0,0,0,4,,,,,,,,,,,,,,,,,,14.402460299999802,None,14.402460299999802,None,14.402460299999802,None,14.402460299999802,None,14.402460299999802,None,0.027777777777777776,-0.19814814814814816,1,0,0,1.2214844999998604,imgGreen,0.00338781999926141,None,15.668828800000483,None,,,,,,,,,,,,,,d,d,d,d,001,2021_Jan_12_1726,آزمون استروپ استاندارد,2020.2.10,59.87934312382163,
قرمز,red,1,imgRed,0,1,1,0,,,,,,,,,,,,,,,,,,16.701912999999877,None,16.701912999999877,None,16.701912999999877,None,16.701912999999877,None,16.701912999999877,None,-0.29907407407407405,-0.21666666666666667,1,0,0,1.0731832000001305,imgRed,0.0027799599993159063,None,18.28497890000017,None,,,,,,,,,,,,,,d,d,d,d,001,2021_Jan_12_1726,آزمون استروپ استاندارد,2020.2.10,59.87934312382163,
قرمز,blue,0,imgBlue,0,2,2,1,,,,,,,,,,,,,,,,,,19.301472600000125,None,19.301472600000125,None,19.301472600000125,None,19.301472600000125,None,19.301472600000125,None,-0.10185185185185185,-0.16296296296296298,1,0,0,0.7131611000004341,imgBlue,0.011283859998911794,None,20.051355499999772,None,,,,,,,,,,,,,,d,d,d,d,001,2021_Jan_12_1726,آزمون استروپ استاندارد,2020.2.10,59.87934312382163,
آبی,red,0,imgRed,0,3,3,2,,,,,,,,,,,,,,,,,,21.084725499999877,None,21.084725499999877,None,21.084725499999877,None,21.084725499999877,None,21.084725499999877,None,-0.22314814814814815,-0.1962962962962963,1,0,0,0.7965138999998089,imgRed,0.00928615999964677,None,21.901121400000193,None,,,,,,,,,,,,,,d,d,d,d,001,2021_Jan_12_1726,آزمون استروپ استاندارد,2020.2.10,59.87934312382163,
سبز,yellow,0,imgYellow,0,4,4,5,,,,,,,,,,,,,,,,,,22.934286599999723,None,22.934286599999723,None,22.934286599999723,None,22.934286599999723,None,22.934286599999723,None,0.15555555555555556,-0.15462962962962962,1,0,0,0.7474576000004163,imgYellow,0.012355659999229829,None,23.684974599999805,None,,,,,,,,,,,,,,d,d,d,d,001,2021_Jan_12_1726,آزمون استروپ استاندارد,2020.2.10,59.87934312382163,
آبی,blue,1,imgBlue,0,5,5,3,,,,,,,,,,,,,,,,,,24.700573300000542,None,24.700573300000542,None,24.700573300000542,None,24.700573300000542,None,24.700573300000542,None,-0.062037037037037036,-0.17962962962962964,1,0,0,0.7479412000002412,imgBlue,0.012513259999650472,None,25.484639500000412,None,,,,,,,,,,,,,,d,d,d,d,001,2021_Jan_12_1726,آزمون استروپ استاندارد,2020.2.10,59.87934312382163,
زرد,green,0,imgGreen,0,6,6,6,,,,,,,,,,,,,,,,,,26.517076500000258,None,26.517076500000258,None,26.517076500000258,None,26.517076500000258,None,26.517076500000258,None,0.021296296296296296,-0.18611111111111112,1,0,0,0.6280257999997048,imgGreen,0.009862959999736631,None,27.150094499999796,None,,,,,,,,,,,,,,d,d,d,d,001,2021_Jan_12_1726,آزمون استروپ استاندارد,2020.2.10,59.87934312382163,
زرد,yellow,1,imgYellow,0,7,7,7,,,,,,,,,,,,,,,,,,28.166613700000198,None,28.166613700000198,None,28.166613700000198,None,28.166613700000198,None,28.166613700000198,None,0.19537037037037036,-0.18981481481481483,1,0,0,0.7973548999998457,imgYellow,0.01246175999949628,None,28.98319470000024,None,,,,,,,,,,,,,,d,d,d,d,001,2021_Jan_12_1726,آزمون استروپ استاندارد,2020.2.10,59.87934312382163,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,30.099745900000016,None,30.099745900000016,None,-0.001851851851851852,-0.2611111111111111,1,0,0,0.7317474999999831,imgStart,0.011176509999131667,None,d,d,d,d,001,2021_Jan_12_1726,آزمون استروپ استاندارد,2020.2.10,59.87934312382163,
آبی,blue,1,imgBlue,,,,,0,0,0,5,,,,,,,,,,,,,,30.866225499999928,None,30.866225499999928,None,30.866225499999928,None,30.866225499999928,None,30.866225499999928,None,-0.07685185185185185,-0.1814814814814815,1,0,0,0.8750274000003628,imgBlue,0.006250990000808088,None,,,,,,,,,,,,,,,,d,d,d,d,001,2021_Jan_12_1726,آزمون استروپ استاندارد,2020.2.10,59.87934312382163,
