word,colour,congruent,corrAns,practisTrials.thisRepN,practisTrials.thisTrialN,practisTrials.thisN,practisTrials.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,instrTxt1.started,instrTxt1.stopped,imgStart1.started,imgStart1.stopped,resBegin1.x,resBegin1.y,resBegin1.leftButton,resBegin1.midButton,resBegin1.rightButton,resBegin1.time,resBegin1.clicked_name,resBegin1.started,resBegin1.stopped,targetTxt.started,targetTxt.stopped,imgRed.started,imgRed.stopped,imgBlue.started,imgBlue.stopped,imgGreen.started,imgGreen.stopped,imgYellow.started,imgYellow.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,mouse.started,mouse.stopped,feedbackTxt.started,feedbackTxt.stopped,instrTxt.started,instrTxt.stopped,imgStart.started,imgStart.stopped,resBegin.x,resBegin.y,resBegin.leftButton,resBegin.midButton,resBegin.rightButton,resBegin.time,resBegin.clicked_name,resBegin.started,resBegin.stopped,نام,نام خانوادگی,کلاس,سن,چندمین بار است که در این تست شرکت می کنید,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,16.574360399999932,None,16.574360399999932,None,-0.004629629629629629,-0.2962962962962963,1,0,0,0.900195199999871,imgStart,0.01447560000087833,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,dfg,dafg,sgdf,dsfg,001,2021_Jan_12_1950,آزمون استروپ استاندارد,2020.2.10,60.03063963864536,
آبی,blue,1,imgBlue,0,0,0,3,,,,,,,,,,,,,,,,,,17.507395799999358,None,17.507395799999358,None,17.507395799999358,None,17.507395799999358,None,17.507395799999358,None,-0.0962962962962963,-0.2037037037037037,1,0,0,0.7541883999992933,imgBlue,0.002582700000857585,None,18.30717259999983,None,,,,,,,,,,,,,,dfg,dafg,sgdf,dsfg,001,2021_Jan_12_1950,آزمون استروپ استاندارد,2020.2.10,60.03063963864536,
زرد,yellow,1,imgYellow,0,1,1,7,,,,,,,,,,,,,,,,,,19.823825999999826,None,19.823825999999826,None,19.823825999999826,None,19.823825999999826,None,19.823825999999826,None,0.18981481481481483,-0.19074074074074074,1,0,0,0.8527736999994886,imgYellow,0.0011699999995471444,None,20.707141099999717,None,,,,,,,,,,,,,,dfg,dafg,sgdf,dsfg,001,2021_Jan_12_1950,آزمون استروپ استاندارد,2020.2.10,60.03063963864536,
قرمز,blue,0,imgBlue,0,2,2,1,,,,,,,,,,,,,,,,,,22.24004160000004,None,22.24004160000004,None,22.24004160000004,None,22.24004160000004,None,22.24004160000004,None,-0.07777777777777778,-0.2037037037037037,1,0,0,0.7920583000004626,imgBlue,0.005860999998731131,None,23.056548099999418,None,,,,,,,,,,,,,,dfg,dafg,sgdf,dsfg,001,2021_Jan_12_1950,آزمون استروپ استاندارد,2020.2.10,60.03063963864536,
قرمز,red,1,imgRed,0,3,3,0,,,,,,,,,,,,,,,,,,24.590258000000176,None,24.590258000000176,None,24.590258000000176,None,24.590258000000176,None,24.590258000000176,None,-0.2638888888888889,-0.2175925925925926,1,0,0,0.9115240000000995,imgRed,0.00994650000029651,None,25.50611620000018,None,,,,,,,,,,,,,,dfg,dafg,sgdf,dsfg,001,2021_Jan_12_1950,آزمون استروپ استاندارد,2020.2.10,60.03063963864536,
آبی,red,0,imgRed,0,4,4,2,,,,,,,,,,,,,,,,,,27.039452699999856,None,27.039452699999856,None,27.039452699999856,None,27.039452699999856,None,27.039452699999856,None,-0.26296296296296295,-0.2175925925925926,1,0,0,0.42620330000045215,imgRed,0.006808899999668938,None,27.472443900000144,None,,,,,,,,,,,,,,dfg,dafg,sgdf,dsfg,001,2021_Jan_12_1950,آزمون استروپ استاندارد,2020.2.10,60.03063963864536,
سبز,yellow,0,imgYellow,0,5,5,5,,,,,,,,,,,,,,,,,,29.00592239999969,None,29.00592239999969,None,29.00592239999969,None,29.00592239999969,None,29.00592239999969,None,-0.262037037037037,-0.2175925925925926,1,0,0,0.29197609999937413,imgRed,0.006578499999704945,None,29.322102299999642,None,,,,,,,,,,,,,,dfg,dafg,sgdf,dsfg,001,2021_Jan_12_1950,آزمون استروپ استاندارد,2020.2.10,60.03063963864536,
زرد,green,0,imgGreen,0,6,6,6,,,,,,,,,,,,,,,,,,30.838483599999563,None,30.838483599999563,None,30.838483599999563,None,30.838483599999563,None,30.838483599999563,None,0.025,-0.20555555555555555,1,0,0,0.8645108999999138,imgGreen,0.011906000000635686,None,31.72174360000008,None,,,,,,,,,,,,,,dfg,dafg,sgdf,dsfg,001,2021_Jan_12_1950,آزمون استروپ استاندارد,2020.2.10,60.03063963864536,
سبز,green,1,imgGreen,0,7,7,4,,,,,,,,,,,,,,,,,,33.254845899999964,None,33.254845899999964,None,33.254845899999964,None,33.254845899999964,None,33.254845899999964,None,0.028703703703703703,-0.20277777777777778,1,0,0,0.5456017000005886,imgGreen,0.010667000000466942,None,33.804711300000235,None,,,,,,,,,,,,,,dfg,dafg,sgdf,dsfg,001,2021_Jan_12_1950,آزمون استروپ استاندارد,2020.2.10,60.03063963864536,
سبز,yellow,0,imgYellow,1,0,8,5,,,,,,,,,,,,,,,,,,35.32109369999944,None,35.32109369999944,None,35.32109369999944,None,35.32109369999944,None,35.32109369999944,None,0.19074074074074074,-0.2074074074074074,1,0,0,0.7977154000000155,imgYellow,0.012235600000167324,None,36.137761500000124,None,,,,,,,,,,,,,,dfg,dafg,sgdf,dsfg,001,2021_Jan_12_1950,آزمون استروپ استاندارد,2020.2.10,60.03063963864536,
