word,colour,congruent,corrAns,practisTrials.thisRepN,practisTrials.thisTrialN,practisTrials.thisN,practisTrials.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,instrTxt1.started,instrTxt1.stopped,imgStart1.started,imgStart1.stopped,resBegin1.x,resBegin1.y,resBegin1.leftButton,resBegin1.midButton,resBegin1.rightButton,resBegin1.time,resBegin1.clicked_name,resBegin1.started,resBegin1.stopped,targetTxt.started,targetTxt.stopped,imgRed.started,imgRed.stopped,imgBlue.started,imgBlue.stopped,imgGreen.started,imgGreen.stopped,imgYellow.started,imgYellow.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,mouse.started,mouse.stopped,feedbackTxt.started,feedbackTxt.stopped,instrTxt.started,instrTxt.stopped,imgStart.started,imgStart.stopped,resBegin.x,resBegin.y,resBegin.leftButton,resBegin.midButton,resBegin.rightButton,resBegin.time,resBegin.clicked_name,resBegin.started,resBegin.stopped,نام,نام خانوادگی,کلاس,سن,چندمین بار است که در این تست شرکت می کنید,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,16.930627600000207,None,16.930627600000207,None,0.03425925925925926,-0.05,1,0,0,1.2874987000000147,imgStart,0.0031903299986879574,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,g,g,g,g,001,2021_Jan_12_1643,آزمون استروپ استاندارد,2020.2.10,59.73829846209514,
قرمز,blue,0,imgBlue,0,0,0,1,,,,,,,,,,,,,,,,,,30.095032199999878,None,30.095032199999878,None,30.095032199999878,None,30.095032199999878,None,30.095032199999878,None,0.022222222222222223,-0.022222222222222223,1,0,0,1.6675122000001465,imgRed,0.014311450000150217,None,31.795219200000247,None,,,,,,,,,,,,,,g,g,g,g,001,2021_Jan_12_1643,آزمون استروپ استاندارد,2020.2.10,59.73829846209514,
سبز,yellow,0,imgYellow,0,1,1,5,,,,,,,,,,,,,,,,,,32.828662800000075,None,32.828662800000075,None,32.828662800000075,None,32.828662800000075,None,32.828662800000075,None,0.016666666666666666,-0.022222222222222223,1,0,0,1.4918252000002212,imgRed,0.008692379999956756,None,34.36093940000001,None,,,,,,,,,,,,,,g,g,g,g,001,2021_Jan_12_1643,آزمون استروپ استاندارد,2020.2.10,59.73829846209514,
آبی,blue,1,imgBlue,0,2,2,3,,,,,,,,,,,,,,,,,,35.39487430000008,None,35.39487430000008,None,35.39487430000008,None,35.39487430000008,None,35.39487430000008,None,0.017592592592592594,-0.023148148148148147,1,0,0,0.41170450000026904,imgRed,0.010058880000087811,None,35.81133690000024,None,,,,,,,,,,,,,,g,g,g,g,001,2021_Jan_12_1643,آزمون استروپ استاندارد,2020.2.10,59.73829846209514,
زرد,yellow,1,imgYellow,0,3,3,7,,,,,,,,,,,,,,,,,,36.82724839999992,None,36.82724839999992,None,36.82724839999992,None,36.82724839999992,None,36.82724839999992,None,0.017592592592592594,-0.023148148148148147,1,0,0,0.695106499999838,imgRed,0.010732879999522993,None,37.561011600000256,None,,,,,,,,,,,,,,g,g,g,g,001,2021_Jan_12_1643,آزمون استروپ استاندارد,2020.2.10,59.73829846209514,
قرمز,red,1,imgRed,0,4,4,0,,,,,,,,,,,,,,,,,,38.593741000000136,None,38.593741000000136,None,38.593741000000136,None,38.593741000000136,None,38.593741000000136,None,-0.07407407407407407,-0.006481481481481481,1,0,0,0.8138286999997035,,0.011861579999731475,2.0233717799997066,40.61080260000017,None,,,,,,,,,,,,,,g,g,g,g,001,2021_Jan_12_1643,آزمون استروپ استاندارد,2020.2.10,59.73829846209514,
زرد,green,0,imgGreen,0,5,5,6,,,,,,,,,,,,,,,,,,41.62642499999993,None,41.62642499999993,None,41.62642499999993,None,41.62642499999993,None,41.62642499999993,None,0.07037037037037037,0.000925925925925926,1,0,0,0.5469969999999194,,0.012625280000065686,2.009044679999988,43.64339250000012,None,,,,,,,,,,,,,,g,g,g,g,001,2021_Jan_12_1643,آزمون استروپ استاندارد,2020.2.10,59.73829846209514,
آبی,red,0,imgRed,0,6,6,2,,,,,,,,,,,,,,,,,,44.65913339999997,None,44.65913339999997,None,44.65913339999997,None,44.65913339999997,None,44.65913339999997,None,,,,,,,,0.01192588000003525,2.006260480000037,46.67607350000026,None,,,,,,,,,,,,,,g,g,g,g,001,2021_Jan_12_1643,آزمون استروپ استاندارد,2020.2.10,59.73829846209514,
سبز,green,1,imgGreen,0,7,7,4,,,,,,,,,,,,,,,,,,47.69205430000011,None,47.69205430000011,None,47.69205430000011,None,47.69205430000011,None,47.69205430000011,None,,,,,,,,0.012946580000516406,2.0085685800004285,49.70926940000027,None,,,,,,,,,,,,,,g,g,g,g,001,2021_Jan_12_1643,آزمون استروپ استاندارد,2020.2.10,59.73829846209514,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,50.824840199999926,None,50.824840199999926,None,0.002777777777777778,-0.007407407407407408,1,0,0,4.727047800000037,imgStart,0.01003482999976768,None,g,g,g,g,001,2021_Jan_12_1643,آزمون استروپ استاندارد,2020.2.10,59.73829846209514,
