word,colour,congruent,corrAns,practisTrials.thisRepN,practisTrials.thisTrialN,practisTrials.thisN,practisTrials.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,instrTxt1.started,instrTxt1.stopped,imgStart1.started,imgStart1.stopped,resBegin1.x,resBegin1.y,resBegin1.leftButton,resBegin1.midButton,resBegin1.rightButton,resBegin1.time,resBegin1.clicked_name,resBegin1.started,resBegin1.stopped,targetTxt.started,targetTxt.stopped,imgRed.started,imgRed.stopped,imgBlue.started,imgBlue.stopped,imgGreen.started,imgGreen.stopped,imgYellow.started,imgYellow.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,mouse.started,mouse.stopped,feedbackTxt.started,feedbackTxt.stopped,instrTxt.started,instrTxt.stopped,imgStart.started,imgStart.stopped,resBegin.x,resBegin.y,resBegin.leftButton,resBegin.midButton,resBegin.rightButton,resBegin.time,resBegin.clicked_name,resBegin.started,resBegin.stopped,نام,نام خانوادگی,کلاس,سن,چندمین بار است که در این تست شرکت می کنید,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,17.07264949999808,None,17.07264949999808,None,-0.07037037037037037,-0.32592592592592595,1,0,0,0.9386118999973405,imgStart,0.0035842799916281365,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,y,y,y,y,001,2021_Jan_12_1226,stroopExperiment,2020.2.10,60.01626440748373,
آبی,blue,1,imgBlue,0,0,0,3,,,,,,,,,,,,,,,,,,18.055732299995725,None,18.055732299995725,None,18.055732299995725,None,18.055732299995725,None,18.055732299995725,None,0.003703703703703704,-0.15648148148148147,1,0,0,2.15546280000126,imgBlue,0.014447150002524722,None,19.188962200001697,None,,,,,,,,,,,,,,y,y,y,y,001,2021_Jan_12_1226,stroopExperiment,2020.2.10,60.01626440748373,
زرد,green,0,imgGreen,0,1,1,6,,,,,,,,,,,,,,,,,,20.222350999996706,None,20.222350999996706,None,20.222350999996706,None,20.222350999996706,None,20.222350999996706,None,0.03518518518518519,-0.15925925925925927,1,0,0,4.854219900000317,imgGreen,0.009388920007040724,None,21.889094999998633,None,,,,,,,,,,,,,,y,y,y,y,001,2021_Jan_12_1226,stroopExperiment,2020.2.10,60.01626440748373,
قرمز,blue,0,imgBlue,0,2,2,1,,,,,,,,,,,,,,,,,,22.922760599998583,None,22.922760599998583,None,22.922760599998583,None,22.922760599998583,None,22.922760599998583,None,0.06481481481481481,-0.15925925925925927,1,0,0,6.922221399996488,imgYellow,0.005680720001691952,None,23.954808700000285,None,,,,,,,,,,,,,,y,y,y,y,001,2021_Jan_12_1226,stroopExperiment,2020.2.10,60.01626440748373,
قرمز,red,1,imgRed,0,3,3,0,,,,,,,,,,,,,,,,,,24.97131509999599,None,24.97131509999599,None,24.97131509999599,None,24.97131509999599,None,24.97131509999599,None,-0.040740740740740744,-0.1527777777777778,1,0,0,9.754899400002614,imgRed,0.0011148100020363927,None,26.78761559999839,None,,,,,,,,,,,,,,y,y,y,y,001,2021_Jan_12_1226,stroopExperiment,2020.2.10,60.01626440748373,
آبی,red,0,imgRed,0,4,4,2,,,,,,,,,,,,,,,,,,27.820892199997616,None,27.820892199997616,None,27.820892199997616,None,27.820892199997616,None,27.820892199997616,None,-0.03425925925925926,-0.15462962962962962,1,0,0,11.688520099996822,imgRed,0.010385319998022169,None,28.720652899995912,None,,,,,,,,,,,,,,y,y,y,y,001,2021_Jan_12_1226,stroopExperiment,2020.2.10,60.01626440748373,
سبز,yellow,0,imgYellow,0,5,5,5,,,,,,,,,,,,,,,,,,29.7538698999997,None,29.7538698999997,None,29.7538698999997,None,29.7538698999997,None,29.7538698999997,None,0.06388888888888888,-0.1574074074074074,1,0,0,13.92156779999641,imgYellow,0.0024604200007161126,None,30.953672800002096,None,,,,,,,,,,,,,,y,y,y,y,001,2021_Jan_12_1226,stroopExperiment,2020.2.10,60.01626440748373,
زرد,yellow,1,imgYellow,0,6,6,7,,,,,,,,,,,,,,,,,,31.987320599997474,None,31.987320599997474,None,31.987320599997474,None,31.987320599997474,None,31.987320599997474,None,,,,,,,,0.01056112000514986,2.0215284200021415,33.987447400002566,None,,,,,,,,,,,,,,y,y,y,y,001,2021_Jan_12_1226,stroopExperiment,2020.2.10,60.01626440748373,
سبز,green,1,imgGreen,0,7,7,4,,,,,,,,,,,,,,,,,,35.02049830000033,None,35.02049830000033,None,35.02049830000033,None,35.02049830000033,None,35.02049830000033,None,0.032407407407407406,-0.1574074074074074,1,0,0,19.370210599998245,imgGreen,0.012393320001137909,None,36.402632799996354,None,,,,,,,,,,,,,,y,y,y,y,001,2021_Jan_12_1226,stroopExperiment,2020.2.10,60.01626440748373,
سبز,yellow,0,imgYellow,1,0,8,5,,,,,,,,,,,,,,,,,,37.41918089999672,None,37.41918089999672,None,37.41918089999672,None,37.41918089999672,None,37.41918089999672,None,0.032407407407407406,-0.1574074074074074,1,0,0,21.31808170000295,imgGreen,0.013210420001996681,None,38.352375599999505,None,,,,,,,,,,,,,,y,y,y,y,001,2021_Jan_12_1226,stroopExperiment,2020.2.10,60.01626440748373,
قرمز,red,1,imgRed,1,1,9,0,,,,,,,,,,,,,,,,,,39.36869879999722,None,39.36869879999722,None,39.36869879999722,None,39.36869879999722,None,39.36869879999722,None,-0.03333333333333333,-0.15,1,0,0,23.452095100001316,imgRed,0.011053219997847918,None,40.48523220000061,None,,,,,,,,,,,,,,y,y,y,y,001,2021_Jan_12_1226,stroopExperiment,2020.2.10,60.01626440748373,
قرمز,blue,0,imgBlue,1,2,10,1,,,,,,,,,,,,,,,,,,41.519229199999245,None,41.519229199999245,None,41.519229199999245,None,41.519229199999245,None,41.519229199999245,None,-0.005555555555555556,-0.1574074074074074,1,0,0,25.435232399999222,imgBlue,0.011725219992513303,None,42.46916829999827,None,,,,,,,,,,,,,,y,y,y,y,001,2021_Jan_12_1226,stroopExperiment,2020.2.10,60.01626440748373,
زرد,yellow,1,imgYellow,1,3,11,7,,,,,,,,,,,,,,,,,,43.502197299996624,None,43.502197299996624,None,43.502197299996624,None,43.502197299996624,None,43.502197299996624,None,0.06018518518518518,-0.15925925925925927,1,0,0,27.636851499999466,imgYellow,0.011515220001456328,None,44.66788850000012,None,,,,,,,,,,,,,,y,y,y,y,001,2021_Jan_12_1226,stroopExperiment,2020.2.10,60.01626440748373,
آبی,red,0,imgRed,1,4,12,2,,,,,,,,,,,,,,,,,,45.68432390000089,None,45.68432390000089,None,45.68432390000089,None,45.68432390000089,None,45.68432390000089,None,-0.030555555555555555,-0.16111111111111112,1,0,0,29.734820099998615,imgRed,0.012342519999947399,None,46.76760900000227,None,,,,,,,,,,,,,,y,y,y,y,001,2021_Jan_12_1226,stroopExperiment,2020.2.10,60.01626440748373,
آبی,blue,1,imgBlue,1,5,13,3,,,,,,,,,,,,,,,,,,47.78410299999814,None,47.78410299999814,None,47.78410299999814,None,47.78410299999814,None,47.78410299999814,None,-0.007407407407407408,-0.16111111111111112,1,0,0,31.716240399997332,imgBlue,0.012346219999017194,None,48.750666699997964,None,,,,,,,,,,,,,,y,y,y,y,001,2021_Jan_12_1226,stroopExperiment,2020.2.10,60.01626440748373,
سبز,green,1,imgGreen,1,6,14,4,,,,,,,,,,,,,,,,,,49.783785499996156,None,49.783785499996156,None,49.783785499996156,None,49.783785499996156,None,49.783785499996156,None,0.02962962962962963,-0.16018518518518518,1,0,0,33.767796799998905,imgGreen,0.010561419992882293,None,50.80011329999979,None,,,,,,,,,,,,,,y,y,y,y,001,2021_Jan_12_1226,stroopExperiment,2020.2.10,60.01626440748373,
