word,colour,congruent,corrAns,practisTrials.thisRepN,practisTrials.thisTrialN,practisTrials.thisN,practisTrials.thisIndex,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,instrTxt1.started,instrTxt1.stopped,imgStart1.started,imgStart1.stopped,resBegin1.x,resBegin1.y,resBegin1.leftButton,resBegin1.midButton,resBegin1.rightButton,resBegin1.time,resBegin1.clicked_name,resBegin1.started,resBegin1.stopped,targetTxt.started,targetTxt.stopped,imgRed.started,imgRed.stopped,imgBlue.started,imgBlue.stopped,imgGreen.started,imgGreen.stopped,imgYellow.started,imgYellow.stopped,mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,mouse.time,mouse.clicked_name,mouse.started,mouse.stopped,feedbackTxt.started,feedbackTxt.stopped,instrTxt.started,instrTxt.stopped,imgStart.started,imgStart.stopped,resBegin.x,resBegin.y,resBegin.leftButton,resBegin.midButton,resBegin.rightButton,resBegin.time,resBegin.clicked_name,resBegin.started,resBegin.stopped,نام,نام خانوادگی,کلاس,سن,چندمین بار است که در این تست شرکت می کنید,date,expName,psychopyVersion,frameRate,
,,,,,,,,,,,,17.843842499999937,None,17.843842499999937,None,-0.032407407407407406,-0.2972222222222222,1,0,0,1.1670751999999993,imgStart,0.0006285399999796937,None,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,ن,ن,ن,ن,001,2021_Jan_12_1623,آزمون استروپ استاندارد,2020.2.10,60.247242634209,
سبز,yellow,0,imgYellow,0,0,0,5,,,,,,,,,,,,,,,,,,19.043620500000088,None,19.043620500000088,None,19.043620500000088,None,19.043620500000088,None,19.043620500000088,None,0.06111111111111111,-0.14907407407407408,1,0,0,1.307237200000145,imgYellow,0.005369139999856998,None,20.393645200000265,None,,,,,,,,,,,,,,ن,ن,ن,ن,001,2021_Jan_12_1623,آزمون استروپ استاندارد,2020.2.10,60.247242634209,
آبی,red,0,imgRed,0,1,1,2,,,,,,,,,,,,,,,,,,21.426443199999994,None,21.426443199999994,None,21.426443199999994,None,21.426443199999994,None,21.426443199999994,None,-0.02962962962962963,-0.15925925925925927,1,0,0,1.1296484999998029,imgRed,0.010951719999866327,None,22.560266599999977,None,,,,,,,,,,,,,,ن,ن,ن,ن,001,2021_Jan_12_1623,آزمون استروپ استاندارد,2020.2.10,60.247242634209,
قرمز,blue,0,imgBlue,0,2,2,1,,,,,,,,,,,,,,,,,,23.59348409999984,None,23.59348409999984,None,23.59348409999984,None,23.59348409999984,None,23.59348409999984,None,0.013888888888888888,-0.15185185185185185,1,0,0,0.5261198000002878,imgBlue,0.00772341999982018,None,24.709366300000056,None,,,,,,,,,,,,,,ن,ن,ن,ن,001,2021_Jan_12_1623,آزمون استروپ استاندارد,2020.2.10,60.247242634209,
زرد,yellow,1,imgYellow,0,3,3,7,,,,,,,,,,,,,,,,,,25.743079800000032,None,25.743079800000032,None,25.743079800000032,None,25.743079800000032,None,25.743079800000032,None,0.06574074074074074,-0.15833333333333333,1,0,0,1.028731400000197,imgYellow,0.00968321999971522,None,26.775654600000053,None,,,,,,,,,,,,,,ن,ن,ن,ن,001,2021_Jan_12_1623,آزمون استروپ استاندارد,2020.2.10,60.247242634209,
سبز,green,1,imgGreen,0,4,4,4,,,,,,,,,,,,,,,,,,27.792134100000112,None,27.792134100000112,None,27.792134100000112,None,27.792134100000112,None,27.792134100000112,None,0.03518518518518519,-0.1574074074074074,1,0,0,0.9318013999995856,imgGreen,0.012584520000018529,None,28.742555599999832,None,,,,,,,,,,,,,,ن,ن,ن,ن,001,2021_Jan_12_1623,آزمون استروپ استاندارد,2020.2.10,60.247242634209,
آبی,blue,1,imgBlue,0,5,5,3,,,,,,,,,,,,,,,,,,29.75852050000003,None,29.75852050000003,None,29.75852050000003,None,29.75852050000003,None,29.75852050000003,None,0.03611111111111111,-0.15648148148148147,1,0,0,1.1806381999999758,imgGreen,0.012553820000448468,None,30.975060199999916,None,,,,,,,,,,,,,,ن,ن,ن,ن,001,2021_Jan_12_1623,آزمون استروپ استاندارد,2020.2.10,60.247242634209,
زرد,green,0,imgGreen,0,6,6,6,,,,,,,,,,,,,,,,,,31.991456499999913,None,31.991456499999913,None,31.991456499999913,None,31.991456499999913,None,31.991456499999913,None,0.032407407407407406,-0.15462962962962962,1,0,0,1.463072800000191,imgGreen,0.012871220000306494,None,33.491772200000014,None,,,,,,,,,,,,,,ن,ن,ن,ن,001,2021_Jan_12_1623,آزمون استروپ استاندارد,2020.2.10,60.247242634209,
قرمز,red,1,imgRed,0,7,7,0,,,,,,,,,,,,,,,,,,34.50767700000006,None,34.50767700000006,None,34.50767700000006,None,34.50767700000006,None,34.50767700000006,None,-0.027777777777777776,-0.15462962962962962,1,0,0,1.947673599999689,imgRed,0.012717919999886362,None,36.47388899999987,None,,,,,,,,,,,,,,ن,ن,ن,ن,001,2021_Jan_12_1623,آزمون استروپ استاندارد,2020.2.10,60.247242634209,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,37.57377039999983,None,37.57377039999983,None,-0.02962962962962963,-0.2462962962962963,1,0,0,0.9956569999999374,imgStart,0.010825970000041707,None,ن,ن,ن,ن,001,2021_Jan_12_1623,آزمون استروپ استاندارد,2020.2.10,60.247242634209,
